,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16
num_critic_for_reviews,0.028963179026298632,-0.20948219995194584,0.2119760364792649,0.45978461856296754,-0.4467621567694387,1.0317322903893762,-0.4780757566983274,-0.08137771900415378,0.16234383750968442,0.016358587161629034,-0.041607560823909345,-0.21625554557309398,-0.008347065729627413,0.025168490453279284,0.0003039122716771646,-0.00021213971735253983
duration,-0.45035302310932285,0.3480584479539149,0.0056097603992362344,0.7038548540123706,-0.1996171218172758,0.6782257864039267,0.546306047637922,-0.30726807895056274,-0.04473581407871653,0.00831852271340749,0.08292071284830196,-0.11274515689264328,0.005715117263081497,0.0628423451212878,-0.0050784370756808235,-0.0010379040152027077
director_facebook_likes,-0.308085952704616,0.8241098422258362,0.851357083552189,0.46472039311026464,-0.23122890299669224,0.5353919547692229,-0.37117551255837195,0.00778631310717917,-0.06564145668985162,0.06795447038852778,0.028257758804384428,-0.023366047386425007,-0.004917464017777428,0.007675793645389965,0.004990905621258253,-9.636421326970162e-05
actor_3_facebook_likes,-0.4647788349211113,0.13872862173338932,0.20559782268221108,0.820565546204311,0.6369912932450389,0.7697753574437297,-0.3711704289482923,0.17282751444064937,-0.10576639045509748,-0.20346292915491754,-0.10998264451082239,-0.049817896521920056,0.16674841314927125,-0.0060958682356058785,0.004943735546008007,-0.036733527160421865
actor_1_facebook_likes,-0.5621837096018906,0.20479766643596473,0.13902257434278845,0.6420088368678383,-0.10263138554975759,0.5487549812837298,-0.34315078159148493,0.06646893267349596,0.27108955236699295,0.4365045627909916,0.4874595541196247,0.0005363771346703887,0.2310545849616816,0.004460484459030815,0.00792209599387863,-0.689831016396829
gross,-0.30982906122246173,0.15935332157827645,0.13420276893628172,1.110432032740521,-0.1717850425117979,0.09897953452682937,-0.5963766406081643,-0.6057304917917727,-0.013139837721519648,0.0672499851282041,-0.01015104047945434,0.0069611156061275825,-0.00287011905539068,-0.0004335760202619284,-0.017439464281491762,-0.0031199846305470604
num_voted_users,-0.22772581813263648,0.2684918682640525,0.050016101907672764,0.9577010752813254,-0.28706985125781964,0.3171755625360156,-0.2707527831524815,0.4869663595950971,-0.34974098904803486,0.2600448681767065,0.1198214981351259,-0.6420340249724393,-0.024805903542158274,0.015360387394080473,0.009293886586813543,0.0005187274226222574
cast_total_facebook_likes,-0.5456788584939116,0.19695447062996527,0.14738180146731109,0.6616535492030899,-0.016900024697033136,0.5679549511177816,-0.342134005708425,0.07379561330170145,0.2796369168257127,0.42882853776446933,0.4891280682676463,0.007677076515166664,0.029323189333293143,0.007987947776393292,-0.0005338547126671738,0.7067619125565568
facenumber_in_poster,-0.6058806894949833,0.1942150593310983,0.13833726070581462,0.6121681686442872,-0.11957611541424731,0.569458404754964,-0.25693885578715264,0.04527375188432048,0.012212204119726417,0.7716284232761557,-0.6435706068727131,0.037127079116261556,-0.0018369966814902475,0.01709306577917547,0.0053536079238955545,-0.0012150828771483732
num_user_for_reviews,-0.30434071599576196,0.2032094579371281,0.10797705957132243,0.9780431007814819,-0.4376585162230108,0.42907492547909387,-0.181404322498521,0.5029052768618832,0.18426764190160205,-0.11205250382797298,-0.06355375557400934,0.5765823164886644,-0.01070999031402254,0.003873877686278574,0.0021162942002842956,-0.0013218504099422874
budget,-0.5809605318623675,0.20570720965838393,0.13452612306892972,0.6357037558533841,-0.21925617785485577,0.5378157224618091,-0.33875218943044183,0.0169317409156807,-0.05366892775208135,0.062476846971299696,0.04116995039557261,-0.04269318546522849,-0.019552950440643684,-0.0057804543119097445,1.0038002912274404,0.004648601416354606
title_year,-0.4815083808386073,-0.28183617581961273,0.41355067710042387,0.17248366721473024,-0.06552698517793865,-0.05523529437435104,-0.09448478987637868,0.11342186170853855,-0.0723873339530612,0.010125019712698422,0.043584478574044294,-0.026767140679892356,-0.005531918591209761,0.052948217650471,-0.0005092541831458028,-0.0008482041327879937
actor_2_facebook_likes,-0.5369975791533993,0.1943826880904991,0.1528630637481506,0.6630373073080114,-0.013500172128869224,0.5921325669402681,-0.3333290397858099,0.05068859810254255,0.015437793800850986,0.13913819451333112,0.1457539524957323,-0.00837317172014577,-0.9644357424918244,0.021272521653223353,-0.0008230060811235867,-0.1529241005295059
imdb_score,-0.19108180552313805,0.6049641538675742,-0.4740360308783638,0.1530170051733872,-0.05892220870688908,0.3569981418419792,-0.4824766205092983,0.029990610674106355,-0.019413404034215685,0.024360437761778504,-0.00047028375938357647,0.048103700004805273,-0.0075560165524521826,-0.00136676232752398,0.007187125503460346,0.0002489200843611154
aspect_ratio,-0.568505345278311,0.1913008244129657,0.14438333815443927,0.6082409099762773,-0.22282673924559956,0.5297744604315066,-0.27766782083987246,0.025808229991225423,-0.034457959414030806,0.06705291941287979,0.03266598881097049,-0.0704108155814921,-0.030975079843422505,-0.991384069249168,-0.007188855554423694,-0.00023576105235997806
movie_facebook_likes,-0.3831948028037851,0.07719711483523625,0.14338914702998262,0.5914296228400971,-0.19875045669179242,0.7177083633754825,-0.3525711053797677,-0.0449456678862043,-0.8106031908508691,0.33723204792451567,0.3008260597750808,0.3992234679755372,0.01540182313736901,-0.024114398464702543,0.0074000525160752015,0.001397657090932453
