,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,sque_sum_loadings
num_critic_for_reviews,0.028963179,-0.2094822,0.211976036,0.459784619,-0.446762157,1.03173229,-0.478075757,-0.081377719,0.162343838,0.016358587,-0.041607561,-0.216255546,-0.008347066,0.02516849,0.000303912,-0.00021214,1.876128138
duration,-0.450353023,0.348058448,0.00560976,0.703854854,-0.199617122,0.678225786,0.546306048,-0.307268079,-0.044735814,0.008318523,0.082920713,-0.112745157,0.005715117,0.062842345,-0.005078437,-0.001037904,1.737773333
director_facebook_likes,-0.308085953,0.824109842,0.851357084,0.464720393,-0.231228903,0.535391955,-0.371175513,0.007786313,-0.065641457,0.06795447,0.028257759,-0.023366047,-0.004917464,0.007675794,0.004990906,-9.64E-05,2.203170254
actor_3_facebook_likes,-0.464778835,0.138728622,0.205597823,0.820565546,0.636991293,0.769775357,-0.371170429,0.172827514,-0.10576639,-0.203462929,-0.109982645,-0.049817897,0.166748413,-0.006095868,0.004943736,-0.036733527,2.213189805
actor_1_facebook_likes,-0.56218371,0.204797666,0.139022574,0.642008837,-0.102631386,0.548754981,-0.343150782,0.066468933,0.271089552,0.436504563,0.487459554,0.000536377,0.231054585,0.004460484,0.007922096,-0.689831016,2.25430963
gross,-0.309829061,0.159353322,0.134202769,1.110432033,-0.171785043,0.098979535,-0.596376641,-0.605730492,-0.013139838,0.067249985,-0.01015104,0.006961116,-0.002870119,-0.000433576,-0.017439464,-0.003119985,2.139507797
num_voted_users,-0.227725818,0.268491868,0.050016102,0.957701075,-0.287069851,0.317175563,-0.270752783,0.48696636,-0.349740989,0.260044868,0.119821498,-0.642034025,-0.024805904,0.015360387,0.009293887,0.000518727,2.154537527
cast_total_facebook_likes,-0.545678858,0.196954471,0.147381801,0.661653549,-0.016900025,0.567954951,-0.342134006,0.073795613,0.279636917,0.428828538,0.489128068,0.007677077,0.029323189,0.007987948,-0.000533855,0.706761913,2.24325547
facenumber_in_poster,-0.605880689,0.194215059,0.138337261,0.612168169,-0.119576115,0.569458405,-0.256938856,0.045273752,0.012212204,0.771628423,-0.643570607,0.037127079,-0.001836997,0.017093066,0.005353608,-0.001215083,2.216793366
num_user_for_reviews,-0.304340716,0.203209458,0.10797706,0.978043101,-0.437658516,0.429074925,-0.181404322,0.502905277,0.184267642,-0.112052504,-0.063553756,0.576582316,-0.01070999,0.003873878,0.002116294,-0.00132185,2.146748734
budget,-0.580960532,0.20570721,0.134526123,0.635703756,-0.219256178,0.537815722,-0.338752189,0.016931741,-0.053668928,0.062476847,0.04116995,-0.042693185,-0.01955295,-0.005780454,1.003800291,0.004648601,2.27275964
title_year,-0.481508381,-0.281836176,0.413550677,0.172483667,-0.065526985,-0.055235294,-0.09448479,0.113421862,-0.072387334,0.01012502,0.043584479,-0.026767141,-0.005531919,0.052948218,-0.000509254,-0.000848204,0.55198697
actor_2_facebook_likes,-0.536997579,0.194382688,0.152863064,0.663037307,-0.013500172,0.592132567,-0.33332904,0.050688598,0.015437794,0.139138195,0.145753952,-0.008373172,-0.964435742,0.021272522,-0.000823006,-0.152924101,2.248504798
imdb_score,-0.191081806,0.604964154,-0.474036031,0.153017005,-0.058922209,0.356998142,-0.482476621,0.029990611,-0.019413404,0.024360438,-0.000470284,0.0481037,-0.007556017,-0.001366762,0.007187126,0.00024892,1.018616049
aspect_ratio,-0.568505345,0.191300824,0.144383338,0.60824091,-0.222826739,0.52977446,-0.277667821,0.02580823,-0.034457959,0.067052919,0.032665989,-0.070410816,-0.03097508,-0.991384069,-0.007188856,-0.000235761,2.154237862
movie_facebook_likes,-0.383194803,0.077197115,0.143389147,0.591429623,-0.198750457,0.717708363,-0.352571105,-0.044945668,-0.810603191,0.337232048,0.30082606,0.399223468,0.015401823,-0.024114398,0.007400053,0.001397657,2.225634751
,,,,,,,,,,,,,,,,,
actor_1_facebook_likes,,,,,,,,,,,,,,,,,
actor_2_facebook_likes,,,,,,,,,,,,,,,,,
cast_total_facebook_likes,,,,,,,,,,,,,,,,,
